year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1941,266,131.8,69.9,132.9,51.7,16.9,46.6,0,2.8,16.4,119.4,14.6,254.5,63.5,138.6,869,420.2
1942,56.8,41.5,199.3,99.1,21.2,22.7,0,17.4,40.7,189.4,68.2,121.2,319.6,40.1,298.3,877.5,112.9
1943,130,74.1,130.2,97.1,2.9,0,56.8,0,61.9,54.3,11.3,76.6,230.2,56.8,127.5,695.2,325.3
1944,4.2,30.2,33.8,60.6,10.9,62.1,2.7,5.1,6.9,142.5,55.6,29.8,105.3,69.9,205,444.4,111
1945,41.5,5.3,29.7,34.6,20.5,6.1,0.5,1.5,0,30.4,103.8,123.7,84.8,8.1,134.2,397.6,76.6
1946,26.3,14.8,88,90.1,210.7,2.2,0,1.2,11.9,100.9,49.4,25.3,388.8,3.4,162.2,620.8,164.8
1947,85.4,287.6,212.6,23.1,21.4,1.8,0,16.5,25.9,63.8,27.3,103.7,257.1,18.3,117,869.1,398.3
1948,155.2,110.6,37.4,66.8,85.8,6.4,0,0.3,0,27.5,2.6,122,190,6.7,30.1,614.6,369.5
1949,28.5,6,75.4,46.8,23.3,7.6,0.6,0,143.4,2.1,97,95,145.5,8.2,242.5,525.7,156.5
1950,60.2,55,87.8,24.5,119.3,21.6,0.6,0,4.9,17.2,49,74.4,231.6,22.2,71.1,514.5,210.2
1951,83.5,94,125.3,30.2,28.4,16,0,0.9,35,50.2,235.1,28.1,183.9,16.9,320.3,726.7,251.9
1952,77.2,33.7,127.7,90.3,64.3,33.9,3.2,10.9,61,63.2,71.3,84.5,282.3,48,195.5,721.2,139
1953,57.2,16.8,72.1,41.8,8.7,8.6,0.4,0.1,23.4,108.4,51.4,77.8,122.6,9.1,183.2,466.7,158.5
1954,21.6,12.4,116.2,37.5,5.9,17,0,2.8,0.5,15,142.6,29,159.6,19.8,158.1,400.5,111.8
1955,159.2,118,93.7,7.6,40,5,0,3.8,0,48.4,130.9,201.5,141.3,8.8,179.3,808.1,306.2
1956,196.6,42.8,155.7,101.4,53.7,0,0.2,7.1,59.2,31.2,27.4,41.3,310.8,7.3,117.8,716.6,440.9
1957,20.6,68.4,88.9,53.4,46.3,19.6,9.4,0,8.8,29,61.1,50.4,188.6,29,98.9,455.9,130.3
1958,104.2,34.5,82.7,36.1,1.7,12.7,1,9,1,7,8.9,334.8,120.5,22.7,16.9,633.6,189.1
1959,93.1,48.6,111.7,35.3,62.2,0,0,0.2,13.6,62.8,102.6,123.9,209.2,0.2,179,654,476.5
1960,89.5,115.4,136.3,63.8,101.8,34.7,0,9.4,20.8,207.7,144.6,62.7,301.9,44.1,373.1,986.7,328.8
1961,37.6,2,23.7,49.1,111.6,56.2,0,0,55.2,40.8,129.1,111.7,184.4,56.2,225.1,617,102.3
1962,54.7,48.9,182.8,5.2,19.2,26.4,0,0,29.9,178.4,70.3,83.4,207.2,26.4,278.6,699.2,215.3
1963,189.3,127.8,74.9,94.1,19.4,25.3,0,0,22.2,16.9,179.9,172.5,188.4,25.3,219,922.3,400.5
1964,16.2,141.8,105.4,28.1,5.2,20.3,17.5,2.1,23.8,3,42.4,38.2,138.7,39.9,69.2,444,330.5
1965,59.2,99.3,64.3,3.8,9.1,14.2,0,0,56,154.8,113,40,77.2,14.2,323.8,613.7,196.7
1966,125.1,161.2,0,123.1,10.3,9,0,4.3,7.7,121.3,40.8,9.7,133.4,13.3,169.8,612.5,326.3
1967,61.1,63,30.6,48.8,40.1,72,0,0.2,4.2,50.3,63.3,16,119.5,72.2,117.8,449.6,133.8
1968,5.8,179.6,89.6,32.7,28.1,10.1,0,1.3,7.5,34.2,183.8,79.4,150.4,11.4,225.5,652.1,201.4
1969,92.4,137.7,174.6,49.4,49.9,69.2,0.2,0,34.2,79.9,100,36.2,273.9,69.4,214.1,823.7,309.5
1970,342.4,24,36.9,6.1,61.9,105.1,0,4.1,1,1.8,32.5,35.7,104.9,109.2,35.3,651.5,402.6
1971,172.4,4.3,30.2,131.7,121.2,49.9,27.5,2.3,2.4,5.5,6.9,41.4,283.1,79.7,14.8,595.7,212.4
1972,130.8,154.5,80.4,13.2,21.9,2.9,3.1,0,43.6,124,48.5,104.3,115.5,6,216.1,727.2,326.7
1973,101.4,23.1,23.4,13.2,63.9,16.4,6.6,0,9.4,35.1,41.4,85.5,100.5,23,85.9,419.4,228.8
1974,66.3,94,51.6,53.8,28.4,37.5,0,0,2,12.4,57.9,16.5,133.8,37.5,72.3,420.4,245.8
1975,59.6,81.1,138.7,30.2,67.2,4.7,0,0,30.4,18.5,15.9,77.7,236.1,4.7,64.8,524,157.2
1976,35.2,64.1,39,86,8.4,15.6,1,19.2,49.7,87.7,84,144.2,133.4,35.8,221.4,634.1,177
1977,142.9,167.9,18.1,14.5,7.9,50.7,72.9,1.3,25.5,105.8,57.6,213.9,40.5,124.9,188.9,879,455
1978,36.7,182.9,58.1,97.5,41.9,20.6,0,0,61.3,40.2,51.7,238.6,197.5,20.6,153.2,829.5,433.5
1979,130.3,145.6,84,62.4,4.8,42.2,42.1,0,10,216.6,16.3,13.1,151.2,84.3,242.9,767.4,514.5
1980,33.3,50.8,71.4,21.8,39.7,3,0.2,10.5,49.5,51,51.1,4.1,132.9,13.7,151.6,386.4,97.2
1981,3.2,27.7,76.6,75.3,29.2,3.7,0.3,0.1,39.7,26.7,3.6,185,181.1,4.1,70,471.1,35
1982,72.6,53.8,29.3,57.3,6.8,8.9,4.8,25.2,52.4,17.8,90.4,45.9,93.4,38.9,160.6,465.2,311.4
1983,0.6,36.6,9.2,77.6,41.8,10.6,0.7,0.3,39.2,26.8,226.5,99.1,128.6,11.6,292.5,569,83.1
1984,31.8,10.9,92.2,70.8,55.1,63.6,1.2,0.7,4,80.3,121.6,100.1,218.1,65.5,205.9,632.3,141.8
1985,215.9,142.5,13.6,88.4,48.4,15,2.3,0,2.7,2,114.4,83.4,150.4,17.3,119.1,728.6,458.5
1986,48.4,173.2,18.5,73.7,24.3,2.5,0,0.8,68.6,39.7,44.5,36,116.5,3.3,152.8,530.2,305
1987,115.6,89.7,19.7,82.7,3.6,1.2,5.8,22.8,29.3,136.3,37.7,159,106,29.8,203.3,703.4,241.3
1988,159.2,25.8,3.4,37.1,63.4,103,39.7,0,2.8,83.8,58.7,10.1,103.9,142.7,145.3,587,344
1989,38.3,47.2,39.1,63.4,105.7,0.2,0,16,33.6,101.1,214.4,229.2,208.2,16.2,349.1,888.2,95.6
1990,47.4,14.9,32.2,90.1,9.8,1,0,0.1,5.5,181.9,89.6,28.3,132.1,1.1,277,500.8,291.5
1991,30.5,,,20.5,0,20.7,0.4,0.9,24.3,42.2,14.9,48.6,,22,81.4,,
1992,23.2,22.5,13.1,58.9,50.2,46.1,0.2,5.8,21.4,59.6,5.6,88,122.2,52.1,86.6,394.6,94.3
