date,tmax,tmin,tmed
10/1908,22.8,13.4,18.1
11/1908,16.6,10.2,13.4
12/1908,12.8,7.7,10.25
01/1909,11.5,5.1,8.3
02/1909,12.5,4.9,8.7
03/1909,13,6.4,9.7
04/1909,19.5,10,14.75
05/1909,22,12.4,17.2
06/1909,22,11.6,16.8
07/1909,30.5,16.7,23.6
08/1909,29.1,16.5,22.8
09/1909,23.9,14.4,19.15
10/1909,22.1,13,17.55
11/1909,15.1,9.9,12.5
12/1909,13.4,8.3,10.85
01/1910,11.5,5.3,8.4
02/1910,13.4,7.3,10.35
03/1910,13.8,6.4,10.1
04/1910,17.3,8.7,13
05/1910,19.5,9.8,14.65
06/1910,24.5,13.9,19.2
07/1910,27.2,15.1,21.15
08/1910,28.8,15.4,22.1
09/1910,26.3,15.9,21.1
10/1910,20.1,12.7,16.4
11/1910,14.7,9.1,11.9
12/1910,12.8,7.9,10.35
01/1911,10.3,3.6,6.95
02/1911,14.1,5.9,10
03/1911,13.3,6.5,9.9
04/1911,15.6,8.1,11.85
05/1911,19.6,11,15.3
06/1911,22.1,12.9,17.5
07/1911,29.8,18.1,23.95
08/1911,29.6,16.7,23.15
09/1911,28.3,18.2,23.25
10/1911,18,11.9,14.95
11/1911,14.3,9.2,11.75
12/1911,13,8.1,10.55
01/1912,11.1,5.8,8.45
02/1912,13.4,8.6,11
03/1912,15.6,9,12.3
04/1912,18.1,9.6,13.85
05/1912,22.3,12.9,17.6
06/1912,24.6,12.6,18.6
07/1912,24.6,13,18.8
08/1912,25.8,13.9,19.85
09/1912,25.2,15.7,20.45
10/1912,19.2,12.2,15.7
11/1912,15.8,8.6,12.2
12/1912,11.9,5.5,8.7
01/1913,12.3,7.2,9.75
02/1913,13.2,6.4,9.8
03/1913,14.7,7.7,11.2
04/1913,15.7,8.4,12.05
05/1913,20.4,11.3,15.85
06/1913,29.2,12.3,20.75
07/1913,28.6,15.9,22.25
08/1913,26.7,15.5,21.1
09/1913,22.5,14.1,18.3
10/1913,18.8,12.4,15.6
11/1913,15.5,9.8,12.65
12/1913,11.3,5.4,8.35
01/1914,10.5,4.2,7.35
02/1914,12.7,6.9,9.8
03/1914,14.6,7.4,11
04/1914,17.1,9.4,13.25
05/1914,21,11.2,16.1
06/1914,22.5,12.7,17.6
07/1914,27.1,15.1,21.1
08/1914,29.7,16.4,23.05
09/1914,28.1,17.4,22.75
10/1914,20.8,12.6,16.7
11/1914,14.2,8.2,11.2
12/1914,12,6.9,9.45
01/1915,10.2,4.7,7.45
02/1915,11.5,6.8,9.15
03/1915,15,9.1,12.05
04/1915,16.1,8.2,12.15
05/1915,20.4,12.2,16.3
06/1915,24.9,14.2,19.55
07/1915,29.4,16.3,22.85
08/1915,30.4,17.7,24.05
09/1915,25.4,16,20.7
10/1915,19.9,11.7,15.8
11/1915,14.7,9.1,11.9
12/1915,12.7,7.9,10.3
01/1916,12.6,6.2,9.4
02/1916,12,5.5,8.75
03/1916,11.5,6.1,8.8
04/1916,17.8,8.9,13.35
05/1916,20.6,12,16.3
06/1916,25.4,13.9,19.65
07/1916,27.1,15.4,21.25
08/1916,28.8,16.2,22.5
09/1916,26.4,16.2,21.3
10/1916,23,13.8,18.4
11/1916,14.7,9,11.85
12/1916,12.8,7.8,10.3
01/1917,10.6,4.8,7.7
02/1917,11.4,5.9,8.65
03/1917,12.9,6,9.45
04/1917,16.6,8.3,12.45
05/1917,19.8,11.6,15.7
06/1917,24.9,13.9,19.4
07/1917,30.7,16.4,23.55
08/1917,27.3,14.6,20.95
09/1917,29.2,17,23.1
10/1917,20.2,10.9,15.55
11/1917,17.9,8.3,13.1
12/1917,10.1,3.6,6.85
01/1918,12.5,6.9,9.7
02/1918,15,7.2,11.1
03/1918,14,7,10.5
04/1918,15.4,7.7,11.55
05/1918,21.6,15,18.3
06/1918,27.2,15.2,21.2
07/1918,28.8,16.6,22.7
08/1918,31.3,18.4,24.85
09/1918,24.2,14.8,19.5
10/1918,21.8,10,15.9
11/1918,15,9.1,12.05
12/1918,12.5,6.8,9.65
01/1919,10.9,5,7.95
02/1919,13.1,8.4,10.75
03/1919,14,7,10.5
04/1919,16.6,8.5,12.55
05/1919,21.1,11,16.05
06/1919,28.3,16,22.15
07/1919,27.5,15.3,21.4
08/1919,32.6,17.8,25.2
09/1919,25.3,15.4,20.35
10/1919,18.8,10.9,14.85
11/1919,13.9,7.2,10.55
12/1919,11.6,5,8.3
01/1920,12,5.4,8.7
02/1920,13.7,6.8,10.25
03/1920,15.4,6.9,11.15
04/1920,18,9.9,13.95
05/1920,22.6,11.9,17.25
06/1920,25.6,14.4,20
07/1920,28.8,14.4,21.6
08/1920,30.2,15.2,22.7
09/1920,26.5,15.6,21.05
10/1920,17.7,11.2,14.45
11/1920,15.2,8.3,11.75
12/1920,12,5.4,8.7
01/1921,12.8,6.1,9.45
02/1921,12.5,5.7,9.1
03/1921,15.4,7,11.2
04/1921,18.6,9.1,13.85
05/1921,20.7,10.7,15.7
06/1921,26.4,14,20.2
07/1921,30.8,17.4,24.1
08/1921,29.7,16.6,23.15
09/1921,25.8,15.2,20.5
10/1921,21.9,14.2,18.05
11/1921,15.8,8.9,12.35
12/1921,12.4,5.3,8.85
01/1922,12.4,5.3,8.85
02/1922,13.8,6,9.9
03/1922,12.8,6.2,9.5
04/1922,16.2,7.6,11.9
05/1922,24.6,13.1,18.85
06/1922,25.6,13.9,19.75
07/1922,29.2,14.6,21.9
08/1922,29.9,16.5,23.2
09/1922,25.2,13.9,19.55
10/1922,20.9,12.8,16.85
11/1922,15.6,8.5,12.05
12/1922,12.2,5.1,8.65
01/1923,10.7,2.3,6.5
02/1923,13.2,5.9,9.55
03/1923,16.4,7.7,12.05
04/1923,14.6,6.3,10.45
05/1923,20.9,9,14.95
06/1923,27.6,13.8,20.7
07/1923,30.9,16.1,23.5
08/1923,32.6,16.8,24.7
09/1923,26.2,13.9,20.05
10/1923,23.2,13.6,18.4
11/1923,13.8,7.1,10.45
12/1923,11.8,3.5,7.65
01/1924,12.4,5.5,8.95
02/1924,10.9,3,6.95
03/1924,14.3,8.3,11.3
04/1924,17.9,9.4,13.65
05/1924,22.7,12.2,17.45
06/1924,27.5,14.1,20.8
07/1924,29.9,15.5,22.7
08/1924,29.2,15,22.1
09/1924,24.1,14.6,19.35
10/1924,21.1,12.4,16.75
11/1924,15.2,7.6,11.4
12/1924,13,6.9,9.95
01/1925,12.7,5.3,9
02/1925,12.4,4.9,8.65
03/1925,13.5,5,9.25
04/1925,17.2,7.1,12.15
05/1925,19.4,9.8,14.6
06/1925,23.8,14.1,18.95
