year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1971,66.3,76.9,73.5,51.8,3.8,3.5,0,0,9.3,13.5,48.9,19.1,129.1,3.5,71.7,366.6,310.9
1972,168.2,79.7,58.1,12.2,11.6,0.4,2.1,17.4,192,198.8,110.4,102.6,81.9,19.9,501.2,953.5,267
1973,132.2,31.3,59.9,81.8,50.4,2.3,0.3,0,10.4,72.5,208.7,12.6,192.1,2.6,291.6,662.4,266.1
1974,14.4,55.4,116.4,73.5,75.1,1,0,0,2.9,20.5,12.8,96.3,265,1,36.2,468.3,82.4
1975,64.3,136.5,30,94.1,7.7,21.3,1.2,4.2,5.5,28.3,60.1,174.2,131.8,26.7,93.9,627.4,297.1
1976,49.1,54.9,26.7,32.5,25.3,0,11.7,14.5,16.1,2.1,70.7,240.4,84.5,26.2,88.9,544,278.2
1977,67.9,51.8,8,16.7,1.4,20.6,0,0.8,5,53.8,84.7,277.6,26.1,21.4,143.5,588.3,360.1
1978,155.8,175.4,12.4,25.1,8.7,0.7,0,4.3,20,98.1,93.7,121.3,46.2,5,211.8,715.5,608.8
1979,361.9,61.9,38.3,11.9,3.1,1.8,32.3,0.3,5,98.7,23.2,24.1,53.3,34.4,126.9,662.5,545.1
1980,87.4,23,98.4,64.6,21.8,0.2,1,0.6,53.1,82.9,129.7,9.7,184.8,1.8,265.7,572.4,134.5
1981,14.8,58.2,29.8,76.2,9.5,2,0,3.1,3.8,81.8,44.8,30.2,115.5,5.1,130.4,354.2,82.7
1982,42.4,124.8,47.3,24.4,9.8,0.7,13.6,2.1,62.5,10.6,37.3,0.7,81.5,16.4,110.4,376.2,197.4
1983,21.4,60.6,48.7,15.7,10.7,13.8,5,0.8,18,68.8,208.5,78,75.1,19.6,295.3,550,82.7
1984,30.6,46.5,195.3,125.4,31.2,0,0,5.8,100.9,2,65.9,149.6,351.9,5.8,168.8,753.2,155.1
1985,232.4,149.9,64.9,34.3,73.7,54,0,0,0,78.7,140.4,87.1,172.9,54,219.1,915.4,531.9
1986,17.7,104.2,47.2,73.9,0.6,3.8,0.1,0,34.6,2.8,11.8,14.1,121.7,3.9,49.2,310.8,209
1987,221.3,50.1,92.6,37.1,13.7,9.1,0,0.6,30.7,140.3,122.7,182,143.4,9.7,293.7,900.2,285.5
1988,24.2,47.2,58.9,7.4,30.5,0.7,0,2.2,0,80,208.9,67.4,96.8,2.9,288.9,527.4,253.4
1989,43.1,37.8,16.5,12.3,12.4,7,1.2,5.1,136.8,247.4,122.7,195.2,41.2,13.3,506.9,837.5,148.3
1990,22.5,0.4,21,41.7,13.4,6.7,3.5,3.1,166.8,29,143.6,254.9,76.1,13.3,339.4,706.6,218.1
1991,23.4,94.2,84.2,35.2,0,0,0.1,3.8,11,111.5,59.6,124.4,119.4,3.9,182.1,547.4,372.5
1992,53.5,75.8,3.1,5.3,6.5,1.1,0.6,1.8,65.1,120.8,3.1,78,14.9,3.5,189,414.7,253.7
1993,25.7,22.3,83.9,0,134.7,0.3,0,0,3.7,227.4,47.8,37.5,218.6,0.3,278.9,583.3,126
1994,47.2,43.3,0.6,8.1,108.3,0.6,0,3.6,1.3,123,33.8,67.9,117,4.2,158.1,437.7,128
1995,9.5,23.9,62.4,13.1,0,26.4,7.1,0,1.4,40.2,141,213.7,75.5,33.5,182.6,538.7,101.3
1996,249.4,48,187.7,32.2,89,0,0,0.4,0.4,5.2,13.5,197.8,308.9,0.4,19.1,823.6,511.1
1997,136.9,49.3,40.3,48.5,37.2,5.8,3.4,14.8,15.7,116.3,68.4,116.3,126,24,200.4,652.9,384
1998,122.9,145.2,27.7,1.6,40.1,6.8,0,0,2.5,23.9,79.9,20.3,69.4,6.8,106.3,470.9,384.4
1999,115.4,2.4,47,5,12.5,2,0.5,4.3,32.4,167.6,49.7,85.8,64.5,6.8,249.7,524.6,138.1
2000,94.8,3.6,3.9,72.8,66.5,0,0,0,1.1,0.3,26.9,204.1,143.2,0,28.3,474,184.2
2001,60,24.9,120.1,12,25.1,0.8,0.6,0.1,58.9,51.8,180.9,178.8,157.2,1.5,291.6,714,289
2002,138.1,46.2,46.2,92.4,2.5,0.5,0,1.5,91.9,50.3,90.2,109.5,141.1,2,232.4,669.3,363.1
2003,48,83.6,148.7,111.2,0,0.1,0,0,10.4,138.6,45.3,11.6,259.9,0.1,194.3,597.5,241.1
2004,17.7,73.3,16.3,11.9,26.7,0,0,4.5,0,135.5,82.6,95.1,54.9,4.5,218.1,463.6,102.6
2005,44.4,189.1,60,4,10.5,0,10.3,0.1,2.1,140.8,85.9,120.1,74.5,10.4,228.8,667.3,328.6
2006,127,172.2,46.4,14.8,2.8,11,0,0.3,2,120,72.3,4.2,64,11.3,194.3,573,419.3
2007,34.9,29.9,42.8,92.8,35.3,13.8,0,0.1,19.4,23.7,118.3,30.6,170.9,13.9,161.4,441.6,69
2008,11.8,82.5,5.9,208.6,5.8,0,0.8,0,87.1,32.8,26.7,154.1,220.3,0.8,146.6,616.1,124.9
2009,36.2,112.3,37.5,3.2,29.2,48.7,0.7,0.1,4.9,100.3,48.7,292.7,69.9,49.5,153.9,714.5,302.6
2010,109.3,457.7,103.6,83.5,24.1,0,0,0,18.5,173.5,201.6,231.4,211.2,0,393.6,1403.2,859.7
2011,224.6,31.4,62.5,43.5,62.5,0,1.2,2.3,3.8,40.2,41,2.2,168.5,3.5,85,515.2,487.4
2012,1.3,6.7,0,18.9,13.1,4.9,8.9,0.1,72.5,171.5,218.7,4.1,32,13.9,462.7,520.7,10.2
2013,4.1,11.2,251.2,14,0,0.1,14.1,0,42.6,39.8,13.9,104.9,265.2,14.2,96.3,495.9,19.4
2014,39.2,27.7,38,58.4,0,6.7,0,0,88.7,95.3,111.5,16.1,96.4,6.7,295.5,481.6,171.8
2015,6.3,9.1,38.9,33.1,5.1,0.2,1.2,0,43.5,135.1,1.5,25.5,77.1,1.4,180.1,299.5,31.5
2016,51,61.4,19.3,122.9,27.1,0.6,0,0.5,0.2,131.7,163.1,69.3,169.3,1.1,295,647.1,137.9
2017,25.1,77.8,31.8,104.6,38.8,0,0,0,0,15,58.9,25,175.2,0,73.9,377,172.2
2018,53.8,107.8,163.5,29.7,0.7,0.1,0.4,0,0,99.1,83.7,12.1,193.9,0.5,182.8,550.9,186.6
