date,tmax,tmin,tmed
05/1911,19.4,18,18.7
06/1911,22,20.5,21.25
07/1911,22.7,21.6,22.15
08/1911,25.1,23.6,24.35
09/1911,25.5,24.2,24.85
10/1911,23.2,21.6,22.4
11/1911,20.6,18,19.3
12/1911,19.5,17,18.25
01/1912,18,15.8,16.9
02/1912,17.9,15.7,16.8
03/1912,19,16.7,17.85
04/1912,19.1,16.8,17.95
05/1912,21.1,18.8,19.95
06/1912,21.9,19.9,20.9
07/1912,22.9,20.8,21.85
08/1912,24.7,23.3,24
09/1912,24.3,22.2,23.25
10/1912,22.8,20.2,21.5
11/1912,21.4,19.1,20.25
12/1912,18.7,15.7,17.2
01/1913,18.4,15.8,17.1
02/1913,18.2,15.8,17
03/1913,19,16.8,17.9
04/1913,18,16.2,17.1
05/1913,20,18,19
06/1913,22.4,20.8,21.6
07/1913,23.6,21.8,22.7
08/1913,24.1,22.1,23.1
09/1913,25.2,20,22.6
10/1913,23.8,18.6,21.2
11/1913,22,16.8,19.4
12/1913,20.7,15.5,18.1
01/1914,19,15.1,17.05
02/1914,18.9,14.3,16.6
03/1914,18.2,15,16.6
04/1914,19.4,15.8,17.6
05/1914,20.4,17.4,18.9
06/1914,21.3,18.7,20
07/1914,23.4,20.8,22.1
08/1914,25.4,21.9,23.65
09/1914,25.4,22,23.7
10/1914,23.7,20.6,22.15
11/1914,20.8,17,18.9
12/1914,19.3,15.6,17.45
01/1915,18.6,14.9,16.75
02/1915,18,14.8,16.4
03/1915,18.5,15.9,17.2
04/1915,18.7,15.6,17.15
05/1915,20.3,17.6,18.95
06/1915,22.3,19.5,20.9
07/1915,24,21.1,22.55
08/1915,24.7,21.7,23.2
09/1915,25.2,21.6,23.4
10/1915,22.4,19,20.7
11/1915,20.5,17.1,18.8
12/1915,19,16.8,17.9
01/1916,18,14.9,16.45
02/1916,17.8,14.3,16.05
03/1916,17.3,14.2,15.75
04/1916,17.8,15.2,16.5
05/1916,19.2,16.7,17.95
06/1916,20.6,18.7,19.65
07/1916,22,20.4,21.2
08/1916,23.9,22.3,23.1
09/1916,24.4,22.1,23.25
10/1916,24,21,22.5
11/1916,22.2,18.8,20.5
12/1916,18.8,15.9,17.35
01/1917,17.1,14.1,15.6
02/1917,16,13.3,14.65
03/1917,16.9,14.2,15.55
04/1917,17.4,15,16.2
05/1917,19.3,17.6,18.45
06/1917,20.3,19,19.65
07/1917,23.9,21.1,22.5
08/1917,23.7,21.4,22.55
09/1917,24.3,21,22.65
10/1917,22.6,18.9,20.75
11/1917,21.3,17.6,19.45
12/1917,18.2,14.3,16.25
01/1918,18.2,15.4,16.8
02/1918,17.7,13.9,15.8
03/1918,17.4,13.9,15.65
04/1918,17.8,15.1,16.45
05/1918,19.5,16.9,18.2
06/1918,22,19.3,20.65
07/1918,23.2,21,22.1
08/1918,23.6,21.1,22.35
09/1918,24.5,21.4,22.95
10/1918,22.1,18.6,20.35
11/1918,20.8,17,18.9
12/1918,19.4,16.2,17.8
01/1919,18.7,15.7,17.2
02/1919,19.3,16.1,17.7
03/1919,18.4,15.3,16.85
04/1919,18.5,15.2,16.85
05/1919,20.3,17.2,18.75
06/1919,21.7,19.2,20.45
07/1919,22.2,20.1,21.15
08/1919,27.3,23.8,25.55
09/1919,24,20.7,22.35
10/1919,23.3,19.7,21.5
11/1919,21.6,17.9,19.75
12/1919,20.1,16.7,18.4
01/1920,18.9,15.3,17.1
02/1920,17.8,14.8,16.3
03/1920,19,15.2,17.1
04/1920,20.3,16.9,18.6
05/1920,20.8,17.8,19.3
06/1920,22,19.9,20.95
07/1920,23.3,21,22.15
08/1920,25.7,22.4,24.05
09/1920,24.7,21.8,23.25
10/1920,22.6,19.8,21.2
11/1920,21.4,17.6,19.5
12/1920,19.9,16.5,18.2
01/1921,19.4,13.2,16.3
02/1921,17.5,12.1,14.8
03/1921,17.8,12.6,15.2
04/1921,18.6,13.7,16.15
05/1921,20.1,15.2,17.65
06/1921,20.8,16.5,18.65
07/1921,23.6,18.7,21.15
08/1921,24,18.7,21.35
09/1921,23.9,18.9,21.4
10/1921,22.8,17.3,20.05
11/1921,20.8,15.5,18.15
12/1921,19.1,13.5,16.3
01/1922,17.8,12.4,15.1
02/1922,17.4,12.4,14.9
03/1922,17.2,11.8,14.5
04/1922,19,13.5,16.25
05/1922,20.2,15.3,17.75
06/1922,22,17.6,19.8
07/1922,24.8,19.7,22.25
08/1922,26.7,20.7,23.7
09/1922,25.3,19.8,22.55
10/1922,24.5,18.4,21.45
11/1922,21.3,15.8,18.55
12/1922,19.1,13.6,16.35
01/1923,17.4,12.4,14.9
02/1923,18.3,12.8,15.55
03/1923,20.2,14.4,17.3
04/1923,20.1,14.4,17.25
05/1923,20.7,15.8,18.25
06/1923,22.2,17.5,19.85
07/1923,24.1,19.6,21.85
08/1923,26.3,20.6,23.45
09/1923,25.2,19.3,22.25
10/1923,24,18.6,21.3
11/1923,21.2,15.8,18.5
12/1923,19.2,13.7,16.45
01/1924,18.9,13.3,16.1
02/1924,16.8,11.9,14.35
03/1924,18.6,14.3,16.45
04/1924,19.3,14,16.65
05/1924,20.7,15.6,18.15
06/1924,21.8,17,19.4
07/1924,24.1,18.9,21.5
08/1924,24.1,19.4,21.75
09/1924,24.1,19.1,21.6
10/1924,23.2,18,20.6
11/1924,21,15.6,18.3
12/1924,19.6,14.6,17.1
01/1925,18.9,14.2,16.55
02/1925,18.1,12.4,15.25
03/1925,17.3,12.7,15
04/1925,18.7,13.7,16.2
05/1925,20,15.3,17.65
06/1925,20.6,16.8,18.7
07/1925,22.2,17.8,20
08/1925,23.7,19.3,21.5
09/1925,24.8,19.5,22.15
10/1925,23.2,18.3,20.75
11/1925,21,16.1,18.55
12/1925,20.5,16.1,18.3
01/1926,18.4,13.6,16
02/1926,20,14.4,17.2
03/1926,19.2,14,16.6
04/1926,19.5,14.9,17.2
05/1926,20.3,15.9,18.1
06/1926,21.9,18.2,20.05
07/1926,24,19.5,21.75
08/1926,24.8,20.7,22.75
09/1926,25.2,20.6,22.9
10/1926,24.4,19.8,22.1
11/1926,21.3,16.4,18.85
12/1926,19.2,15.1,17.15
01/1927,19,14.3,16.65
02/1927,18,13.5,15.75
